"Site","id","lat","lon","el"
"Sorrento","site",50.8685889544008,-119.451671522659,506
"Kalamalka","site",50.235700955307,-119.276634080816,486
"Vernon","site",50.229950432172,-119.320136897136,525
"PRT","site",50.3870923312565,-119.29182887665,464
"PGTIS","site",53.7683909350725,-122.715779753023,598
"Tolko","site",50.3968272593781,-119.209891311872,522
"KettleRiver","site",49.2226589402711,-118.933972154881,632
"Border","site",59.532,-127.791,671
"Trench","site",56.155,-124.108,659
"Sorrento","grid",50.84375,-119.46875,796
"Kalamalka","grid",50.21875,-119.28125,395
"Vernon","grid",50.21875,-119.34375,739
"PRT","grid",50.40625,-119.28125,548
"PGTIS","grid",53.78125,-122.71875,597
"Tolko","grid",50.40625,-119.21875,405
"KettleRiver","grid",49.21875,-118.90625,836
"Border","grid",59.53125,-127.78125,678
"Trench","grid",56.15625,-124.09375,683
